Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Власюк,Оксенія,Федорівна,female,1966-01-29,Аналітик даних,селище Болград,"набережна Бітумна, буд. 74 кв. 4, Почаїв, 86235",+380 31 566-65-85,fbabak@example.net
Каденюк,Едуард,Євгенович,male,1994-07-01,PR-менеджер,хутір Кадіївка,"проспект Одеса-Головна, буд. 4, Світловодськ, 64440",582-79-59,amaliia91@example.org
Гайворонський,Володимир,Мар'янович,male,1997-01-29,Бухгалтер,селище Дрогобич,"сквер Сільськогосподарський, буд. 1 кв. 25, Богодухів, 94834",633 90 68,datsenkoavrelii@example.org
Філіпенко,Амалія,Назарівна,female,1957-12-15,Системний адміністратор,місто Узин,"проспект Новоукраїнський, буд. 3 кв. 5, Чорнобиль, 08825",+380 25 565-66-14,symon04@example.net
Чарниш,Азар,Тарасович,male,1975-09-04,Інженер з якості,місто Вознесенівка,"проспект Лінія 43-тя, буд. 3, Чорноморськ, 18584",+380 82 122-75-71,klymentlahoda@example.com
Атаманчук,Прохір,Борисович,male,1953-09-13,Менеджер з закупівель,село Гуляйполе,"набережна Проектний 5-й, буд. 302, Кам'янка-Бузька, 16131",274-23-26,taras88@example.com
Цюпа,Давид,Давидович,male,1965-11-06,PR-менеджер,місто Пустомити,"проспект Давида Ойстраха, буд. 56, Борислав, 52107",629-74-86,qperepelytsia@example.org
Дерегус,Опанас,Михайлович,male,1978-03-24,Офіс-менеджер,село Федорівка,"сквер Кордонна, буд. 9 кв. 45, Ворожба, 04691",992 39 09,grebryk@example.net
Редько,Назар,Ігорович,male,1992-11-17,Архітектор,селище Українськ,"парк ім. К.Г. Паустовського, буд. 890, Чернігів, 29577",+380 87 168-92-56,zakhardrobiazko@example.org
Батіг,Омелян,Євгенович,male,1938-03-05,HR-менеджер,хутір Жидачів,"площа Володимира Хавкіна, буд. 77 кв. 408, Судак , 47399",+380 (94) 581-81-45,avhustyn54@example.com
Дашенко,Демид,Федорович,male,1992-07-19,Менеджер з продажу,місто Антрацит ,"парк Парусна, буд. 53 кв. 2, Армянськ, 32628",+380 (20) 178-25-92,olehaverchenko@example.com
Хомик,Леон,Васильович,male,1984-11-11,Менеджер з продажу,місто Молодогвардійськ,"площа Байкал тупик, буд. 991 кв. 75, Буськ, 67300",+380 94 937-35-39,cvelychko@example.com
Петлюра,Валентин,Захарович,male,1995-05-29,Тестувальник,село Міусинськ,"сквер Дзвінка, буд. 7, Бердичів, 65226",601 42 56,tereza18@example.org
Артюх,Соломія,Андріївна,female,1958-09-18,Бухгалтер,селище Алмазна,"провулок Іванова 2-й, буд. 561 кв. 05, Чигирин, 49592",095 608 34 85,mykhailyna99@example.org
Полтавець,Кирило,Федорович,male,1943-10-14,HR-менеджер,місто Гірник ,"сквер Академіка Сахарова, буд. 42 кв. 94, Моспине, 09376",078 742 02 55,rostyslav33@example.com
Рева,Ада,Ярославівна,female,1983-02-16,Менеджер з продажу,село Чистякове,"вулиця Жоліо-Кюрі, буд. 5 кв. 88, Вишгород, 08158",303-30-68,vernydubroksolana@example.com
Чуприна,Тереза,Захарівна,female,1950-06-15,Тестувальник,місто Шпола,"площа Тетяни Тесс, буд. 120, Хрустальний, 47161",014 675-92-28,makar94@example.com
Євдокименко,Алла,Тимофіївна,female,1952-10-01,Архітектор,село Моршин,"провулок Ляпунова, буд. 5, Дружківка, 56189",+380 59 639 67 32,ustym24@example.com
Оліфіренко,Дарина,Федорівна,female,1999-12-01,Копірайтер,місто Олександрівськ,"проспект Привокзальна, буд. 3, Умань, 17733",078 356-52-63,olena77@example.com
Стець,Валентина,Романівна,female,1956-06-10,HR-менеджер,місто Хоростків,"проспект Новосельского, буд. 76 кв. 519, Золотоноша, 36010",+380 61 000-72-36,matamaniuk@example.org
Баранник,Марія,Василівна,female,1946-03-21,Бухгалтер,село Лисичанськ,"вулиця Аеропортівський 6-й, буд. 73, Кіцмань, 17240",072 163 99 16,havrylivalevtyn@example.com
Каденюк,Роман,Вікторович,male,1945-09-07,Аналітик даних,село Олевськ,"проспект Академіка Ясиновського, буд. 33 кв. 3, Покровськ, 15346",337-74-63,azarhaidenko@example.org
Саєнко,Юстим,Тарасович,male,1988-07-23,Інженер з якості,хутір Селидове,"сквер 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 080, Карлівка, 57771",+380 59 002-34-11,pylypfranko@example.org
Доценко,Гордій,Станіславович,male,1945-04-04,Програміст,місто Монастирище,"сквер Хвойний, буд. 65 кв. 60, Бобровиця, 35894",051 608-39-36,azar04@example.org
Сиротенко,Христина,Захарівна,female,1990-09-05,Копірайтер,місто Генічеськ,"проспект Тираспольське, буд. 559 кв. 97, Старобільськ, 47125",+380 (58) 265-32-63,xsliusar@example.org
Талан,Дмитро,Зеновійович,male,1953-05-25,Менеджер з продажу,село Зимогір'я,"узвіз Чорноморський 6-й, буд. 2, Охтирка, 56485",+380 34 085 11 54,anitapushkar@example.net
Лисенко,Макар,Петрович,male,2005-03-15,Копірайтер,село Кропивницький,"шосе Матроський узвіз, буд. 904 кв. 3, Немирів, 73341",072 867-33-79,moskalavhustyn@example.net
Журавель,Омелян,Назарович,male,1992-04-18,Асистент керівника,селище Нова Каховка,"узвіз Перемоги, буд. 68 кв. 674, Монастириська, 96854",+380 99 192-07-25,iukhym44@example.org
Онищенко,Дан,Михайлович,male,2002-12-02,Менеджер з продукту,місто Бершадь,"площа Бодаревського, буд. 4, Костянтинівка, 76095",423 56 44,panteleimon79@example.org
Андрійович,Борислав,Євгенович,male,1960-12-19,Бухгалтер,село Корюківка,"набережна Асташкіна, буд. 9, Херсон, 29427",004 867-42-63,panteleimon70@example.org
Кабалюк,Юстим,Григорійович,male,1992-02-27,Менеджер з маркетингу,місто Судак ,"вулиця Черкаська, буд. 891 кв. 40, Дніпрорудне, 66582",157-15-50,aruban@example.net
Палій,Марʼяна,Олексіївна,female,1989-02-26,Офіс-менеджер,хутір Зоринськ,"узвіз Складська, буд. 950, Боярка, 26558",+380 42 344 09 33,amasliak@example.com
Свистун,Єфрем,Борисович,male,1983-03-26,Аудитор,місто Южноукраїнськ,"провулок Світанку, буд. 36 кв. 0, Бердянськ, 15827",+380 74 531 14 18,zabarnyinazar@example.net
Голобородько,Станіслав,Олегович,male,1983-08-13,Системний адміністратор,хутір Лубни,"набережна Посмітного, буд. 97, Немирів, 96564",054 943-82-61,babycholeksa@example.net
Влох,Вʼячеслав,Григорійович,male,1940-10-06,Офіс-менеджер,село Перещепине,"площа Дунайська, буд. 468 кв. 3, Часів Яр, 59652",+380 29 254 76 10,saienkoteodor@example.net
